client_id,client_name,sector,contract_tier,sign_up_date,TOTAL_EVENTS,TOTAL_VOLUME,AVG_TRANSACTION_AMOUNT,COMPLETED_EVENTS,FAILED_EVENTS,PROCESSING_EVENTS,CREATED_EVENTS,TOTAL_RETRIES,SUCCESSFUL_RETRIES,FAILED_RETRIES,PAY_IN_RATIO,PAY_OUT_RATIO,FAIL_RATE,AVG_DELAY_HOURS,RETRY_RATE
C0043,Alvarez Carson And Kennedy,credit,enterprise,2024-11-30 00:00:00+00:00,280,1445137.15,5161.204107142857,164.0,30.0,62.0,24.0,41,22.0,19.0,52.14,47.86,10.71,0.76,12.5
C0003,Sanders Ltd,payroll,standard,2024-06-09 00:00:00+00:00,274,1439742.0800000012,5254.533138686136,174.0,28.0,41.0,31.0,27,12.0,15.0,52.55,47.45,10.22,0.72,9.49
C0035,Wilson Ferguson,payroll,standard,2024-06-12 00:00:00+00:00,281,1433048.300000001,5099.816014234879,167.0,30.0,46.0,38.0,32,20.0,12.0,47.69,52.31,10.68,0.84,11.39
C0000,Levy Plc,credit,enterprise,2024-11-27 00:00:00+00:00,271,1425315.4500000002,5259.466605166052,163.0,24.0,56.0,28.0,30,11.0,19.0,53.51,46.49,8.86,0.75,11.07
C0007,Conley Ramos And Barrett,unknown,unknown,2024-02-01 00:00:00+00:00,275,1410672.8200000005,5129.719345454548,184.0,30.0,41.0,20.0,26,17.0,9.0,52.0,48.0,10.91,0.72,8.73
C0044,Ho Chung And Smith,logistics,basic,2025-05-13 00:00:00+00:00,282,1398125.6900000004,4957.892517730498,179.0,33.0,40.0,30.0,34,16.0,18.0,48.58,51.42,11.7,0.77,12.06
C0042,Bennett Combs,credit,enterprise,2024-06-25 00:00:00+00:00,262,1388387.7699999998,5299.18996183206,178.0,25.0,36.0,23.0,20,11.0,9.0,48.85,51.15,9.54,0.74,6.87
C0016,Parker Lewis,retail,basic,2025-04-11 00:00:00+00:00,263,1383959.5299999998,5262.203536121672,169.0,28.0,34.0,32.0,33,15.0,18.0,48.67,51.33,10.65,0.8,11.79
C0038,Bowman Mack And Trujillo,unknown,basic,2024-11-15 00:00:00+00:00,282,1364405.2299999995,4838.316418439715,193.0,23.0,41.0,25.0,23,9.0,14.0,46.45,53.55,8.16,0.71,8.16
C0008,Torres Marquez,credit,basic,2023-10-16 00:00:00+00:00,270,1356447.6100000008,5023.88003703704,166.0,29.0,39.0,36.0,28,7.0,21.0,47.78,52.22,10.74,0.79,9.26
C0056,Duran Plc,unknown,basic,2024-08-29 00:00:00+00:00,263,1352711.19,5143.3885551330795,183.0,23.0,33.0,24.0,30,14.0,16.0,48.67,51.33,8.75,0.76,11.03
C0015,Horton Inc,credit,enterprise,2024-12-16 00:00:00+00:00,266,1338098.3199999996,5030.444812030074,169.0,28.0,37.0,32.0,27,17.0,10.0,49.25,50.75,10.53,0.74,10.15
C0019,Whitehead Inc,services,unknown,2023-09-13 00:00:00+00:00,256,1335686.64,5217.5259375,167.0,29.0,36.0,24.0,23,13.0,10.0,48.44,51.56,11.33,0.67,8.98
C0050,Shepherd Avila,unknown,basic,2024-03-31 00:00:00+00:00,265,1320471.8599999996,4982.912679245282,183.0,21.0,36.0,25.0,25,11.0,14.0,44.91,55.09,7.92,0.76,9.43
C0039,Andrews Washington And Hess,payroll,premium,2023-06-18 00:00:00+00:00,252,1314632.5700000003,5216.795912698414,149.0,28.0,46.0,29.0,16,8.0,8.0,44.05,55.95,11.11,0.76,5.95
C0031,Bean Inc,payroll,basic,2023-07-17 00:00:00+00:00,257,1311053.04,5101.373696498054,176.0,25.0,33.0,23.0,29,9.0,20.0,50.97,49.03,9.73,0.75,10.89
C0046,Hinton Kim And Walker,services,premium,2025-01-09 00:00:00+00:00,267,1310603.1700000006,4908.626104868917,172.0,26.0,37.0,32.0,17,9.0,8.0,48.31,51.69,9.74,0.75,6.37
C0010,Sosa Smith,logistics,basic,2023-12-08 00:00:00+00:00,250,1309056.8000000003,5236.227200000001,173.0,30.0,25.0,22.0,24,12.0,12.0,50.0,50.0,12.0,0.71,8.8
C0012,Vincent And Sons,unknown,basic,2025-01-23 00:00:00+00:00,274,1288359.3899999994,4702.041569343063,192.0,26.0,27.0,29.0,28,10.0,18.0,48.18,51.82,9.49,0.74,10.22
C0022,Lee Plc,unknown,premium,2024-05-18 00:00:00+00:00,254,1284835.43,5058.407204724409,163.0,27.0,42.0,22.0,26,15.0,11.0,46.06,53.94,10.63,0.76,9.84
C0025,Morrow Llc,unknown,enterprise,2024-04-02 00:00:00+00:00,245,1283729.5900000003,5239.712612244899,166.0,23.0,36.0,20.0,20,8.0,12.0,46.94,53.06,9.39,0.76,7.76
