TRANSACTION_DATE,TRANSACTION_HOUR,TIMESTAMP,TOTAL_EVENTS,TOTAL_VOLUME,PAY_IN_VOLUME,PAY_OUT_VOLUME,PAY_IN_COUNT,PAY_OUT_COUNT,FAILURE_RATE,PAY_IN_RATIO,COMPLETED_COUNT,FAILED_COUNT,PROCESSING_COUNT,EVENTS_WITH_RETRIES,TOTAL_RETRIES,SUCCESSFUL_RETRIES,RETRY_RATE
2025-01-01,0,2025-01-01 00:00:00,9,42491.28999999999,23354.24,19137.05,4.0,5.0,22.22,44.44,6.0,2.0,0.0,1,1,1.0,11.11
2025-01-01,1,2025-01-01 01:00:00,6,25988.839999999997,19018.0,6970.84,4.0,2.0,16.67,66.67,2.0,1.0,3.0,1,0,0.0,16.67
2025-01-01,2,2025-01-01 02:00:00,4,8881.0,2065.05,6815.95,1.0,3.0,0.0,25.0,3.0,0.0,1.0,0,0,0.0,0.0
2025-01-01,3,2025-01-01 03:00:00,3,19755.129999999997,7774.39,11980.74,1.0,2.0,0.0,33.33,1.0,0.0,1.0,0,1,1.0,0.0
2025-01-01,4,2025-01-01 04:00:00,5,29664.809999999998,18494.04,11170.77,3.0,2.0,0.0,60.0,2.0,0.0,2.0,0,0,0.0,0.0
2025-01-01,5,2025-01-01 05:00:00,3,20601.07,20601.07,0.0,3.0,0.0,0.0,100.0,2.0,0.0,0.0,0,0,0.0,0.0
2025-01-01,6,2025-01-01 06:00:00,3,9393.78,3621.63,5772.15,1.0,2.0,33.33,33.33,0.0,1.0,2.0,0,0,0.0,0.0
2025-01-01,7,2025-01-01 07:00:00,6,19635.24,10421.02,9214.22,3.0,3.0,0.0,50.0,4.0,0.0,1.0,1,0,0.0,16.67
2025-01-01,8,2025-01-01 08:00:00,2,9109.98,2268.35,6841.63,1.0,1.0,50.0,50.0,1.0,1.0,0.0,0,1,0.0,0.0
2025-01-01,9,2025-01-01 09:00:00,2,8606.55,0.0,8606.55,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1,0,0.0,50.0
2025-01-01,10,2025-01-01 10:00:00,4,24913.510000000002,16064.61,8848.900000000001,2.0,2.0,0.0,50.0,3.0,0.0,0.0,0,1,0.0,0.0
2025-01-01,11,2025-01-01 11:00:00,3,19616.13,12517.62,7098.51,2.0,1.0,33.33,66.67,0.0,1.0,1.0,0,0,0.0,0.0
2025-01-01,12,2025-01-01 12:00:00,8,35959.11000000001,27341.19,8617.92,6.0,2.0,0.0,75.0,6.0,0.0,1.0,1,0,0.0,12.5
2025-01-01,13,2025-01-01 13:00:00,4,24495.840000000004,9969.43,14526.41,2.0,2.0,25.0,50.0,3.0,1.0,0.0,0,1,0.0,0.0
2025-01-01,14,2025-01-01 14:00:00,1,5578.06,0.0,5578.06,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0
2025-01-01,15,2025-01-01 15:00:00,4,18529.75,4357.67,14172.08,1.0,3.0,25.0,25.0,1.0,1.0,2.0,1,0,0.0,25.0
2025-01-01,16,2025-01-01 16:00:00,4,22912.22,18716.29,4195.93,2.0,2.0,50.0,50.0,1.0,2.0,0.0,1,0,0.0,25.0
2025-01-01,17,2025-01-01 17:00:00,8,26196.18,18812.129999999997,7384.05,6.0,2.0,12.5,75.0,4.0,1.0,1.0,3,2,2.0,37.5
2025-01-01,18,2025-01-01 18:00:00,3,13036.69,8478.43,4558.26,2.0,1.0,33.33,66.67,2.0,1.0,0.0,0,2,0.0,0.0
2025-01-01,19,2025-01-01 19:00:00,4,13189.029999999999,9813.88,3375.1499999999996,2.0,2.0,0.0,50.0,3.0,0.0,1.0,0,1,1.0,0.0
2025-01-01,20,2025-01-01 20:00:00,4,32686.520000000004,8798.29,23888.23,1.0,3.0,0.0,25.0,2.0,0.0,1.0,0,0,0.0,0.0
