event_id,client_id,type,amount,currency,status,error_code,created_at,completed_at,origin_country,destination_country
26c14b0d-70a1-4137-bd35-8fb3187e184b,C0035,pay_out,729.43,EUR,completed,NONE,2025-01-01 00:02:00+00:00,2025-01-01 00:41:00+00:00,ML,TV
c9165e24-63eb-4a0c-9615-e43d74af4e9a,C0040,pay_in,7512.28,MXN,created,NONE,2025-01-01 00:04:00+00:00,,SN,SI
6428af35-e598-42e0-a172-7df2f31aefb8,C0045,pay_out,8445.81,EUR,failed,LIMIT_EXCEEDED,2025-01-01 00:06:00+00:00,2025-01-01 01:03:00+00:00,PY,TD
63e9ee52-ae96-409e-9468-599ef16c9050,C0021,pay_in,9567.58,EUR,completed,NONE,2025-01-01 00:19:00+00:00,2025-01-01 00:33:00+00:00,BA,PA
15b25db9-5873-4302-bef8-287cc64d8f4c,C0032,pay_in,3823.68,EUR,completed,NONE,2025-01-01 00:30:00+00:00,2025-01-01 01:26:00+00:00,LT,AF
a09e657f-5221-45a9-afdc-4e8aebba53c5,C0010,pay_out,3569.38,COP,failed,UNKNOWN,2025-01-01 00:31:00+00:00,2025-01-01 01:22:00+00:00,PE,EG
70691157-9e6c-4772-a374-a2afa268c5b9,C0021,pay_out,3241.01,EUR,completed,NONE,2025-01-01 00:36:00+00:00,2025-01-01 01:21:00+00:00,AO,BF
bc979da2-77bb-465e-beab-694aeb3eaced,C0031,pay_out,3151.42,EUR,completed,NONE,2025-01-01 00:38:00+00:00,2025-01-01 01:29:00+00:00,SV,CY
234dc466-7493-4a0e-9012-f13a6d60a26e,C0059,pay_in,2450.7,USD,completed,NONE,2025-01-01 00:59:00+00:00,2025-01-01 01:35:00+00:00,LY,NP
fba65b44-eb7f-4ce2-a7c5-af62851e4f68,C0016,pay_out,2179.6,MXN,processing,NONE,2025-01-01 01:03:00+00:00,,BH,IT
7f640357-5cc5-4c25-b97a-3b71cd638d70,C0048,pay_in,8846.14,COP,completed,NONE,2025-01-01 01:11:00+00:00,2025-01-01 02:29:00+00:00,US,SY
8c312a7b-97b0-4d35-a5ac-3493e9de3119,C0008,pay_out,4791.24,COP,completed,NONE,2025-01-01 01:20:00+00:00,2025-01-01 01:35:00+00:00,CU,HR
b3fe8f46-0d32-49d0-820f-319f8c36869e,C0034,pay_in,4084.96,MXN,processing,NONE,2025-01-01 01:23:00+00:00,,LI,SD
7b97693f-a2d8-40af-a606-7c0a26518753,C0035,pay_in,1200.48,MXN,processing,NONE,2025-01-01 01:24:00+00:00,,TN,ME
3fce563e-b53a-432b-a418-120f05141f5a,C0000,pay_in,4886.42,EUR,failed,TIMEOUT,2025-01-01 01:56:00+00:00,2025-01-01 02:34:00+00:00,MW,CU
85831656-4d6f-47ff-9289-7ae7be70e09f,C0048,pay_in,2065.05,MXN,processing,NONE,2025-01-01 02:13:00+00:00,,AM,MC
f858f763-dcc7-448e-bb68-d1f4225cc3ba,C0000,pay_out,2345.23,EUR,completed,NONE,2025-01-01 02:37:00+00:00,2025-01-01 03:18:00+00:00,BD,BN
91cc012c-1214-4727-88b7-c88c040516b2,C0048,pay_out,2585.1,COP,completed,NONE,2025-01-01 02:37:00+00:00,2025-01-01 04:01:00+00:00,IL,BN
5c483607-2481-4ccc-9f5a-d40396cbea37,C0046,pay_out,1885.62,MXN,completed,NONE,2025-01-01 02:43:00+00:00,2025-01-01 03:25:00+00:00,MH,BJ
b0f25f74-74d0-4df8-8c5c-5f4b0c585b6a,C0032,pay_out,9377.32,MXN,completed,NONE,2025-01-01 03:11:00+00:00,2025-01-01 04:19:00+00:00,BB,MM
be5cdd93-ea54-4cd3-a372-07964eddbd53,C0031,pay_in,7774.39,USD,created,NONE,2025-01-01 03:22:00+00:00,,SM,MC
cc42179b-39f3-47ca-b9e7-9eb21ba3bab2,C0040,pay_out,2603.42,USD,processing,NONE,2025-01-01 03:43:00+00:00,,SB,CO
48d5390b-9d8f-4b8a-b680-7300eae7cb74,C0031,pay_out,9183.42,EUR,completed,NONE,2025-01-01 04:09:00+00:00,2025-01-01 05:32:00+00:00,WS,LI
c3f6e955-4032-4a5e-8cee-b820a0a4adba,C0022,pay_out,1987.35,USD,created,NONE,2025-01-01 04:16:00+00:00,,KE,AE
337a7acb-95a7-42fc-bde9-812341a19505,C0007,pay_in,9447.19,COP,processing,NONE,2025-01-01 04:38:00+00:00,,NR,GM
0cef07b7-6833-4e4d-ae44-9959547e7f9c,C0054,pay_in,374.09,COP,completed,NONE,2025-01-01 04:41:00+00:00,2025-01-01 05:06:00+00:00,MM,MT
d31e406f-0bb1-4730-b5e9-7544e2d30cd5,C0047,pay_in,8672.76,COP,processing,NONE,2025-01-01 04:52:00+00:00,,BT,AG
efee8ab2-b46c-4935-8298-9b5d8c9287bc,C0037,pay_in,5070.94,MXN,completed,NONE,2025-01-01 05:21:00+00:00,2025-01-01 05:43:00+00:00,KZ,CM
0f5ce37b-243a-4f20-ba90-a7744926f366,C0020,pay_in,6409.24,EUR,completed,NONE,2025-01-01 05:31:00+00:00,2025-01-01 05:34:00+00:00,NL,LB
195e43a5-456e-4b78-a20f-8f70f91035dd,C0054,pay_in,9120.89,MXN,created,NONE,2025-01-01 05:49:00+00:00,,PS,CI
7c9d5ada-06b5-49cf-a2a2-0f3c73034a21,C0000,pay_in,3621.63,USD,failed,TIMEOUT,2025-01-01 06:03:00+00:00,2025-01-01 06:19:00+00:00,PA,GT
da6af0f0-7b50-4c00-a170-c3f611196d8b,C0038,pay_out,1767.06,USD,processing,NONE,2025-01-01 06:11:00+00:00,,BO,PW
f02b0277-1849-455a-835a-c96ed28cb250,C0048,pay_out,4005.09,USD,processing,NONE,2025-01-01 06:26:00+00:00,,SO,NA
